"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q3,Q1,Q2";"TO-92_Inline";3;"PN2222A";;;
2;"L1,L3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"47uH";;;
3;"C9,C6,C3";"C_Disc_D7.0mm_W2.5mm_P5.00mm";3;"100nF";;;
4;"C8,C7,C5,C4";"CP_Radial_D5.0mm_P2.50mm";4;"4.7uF";;;
5;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"Reset";;;
6;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"MW/SW antenna";;;
7;"R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"22k";;;
8;"L2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"270uH";;;
9;"JP2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"NYÁK átkötés";;;
10;"R7,R10,R11,R9,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";5;"4.7k";;;
11;"C2,C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"22pF";;;
12;"U2";"PinHeader_1x14_P2.54mm_Vertical";1;"TFT_320x240";;;
13;"J3";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"FM antenna";;;
14;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"HF Amplifier";;;
15;"Y1";"Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal";1;"32.762kHz";;;
16;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Batterry";;;
17;"C12,C11";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"1nF";;;
18;"L4";"PinHeader_1x02_P2.54mm_Vertical";1;"30uH (MW Ferrite antenna)";;;
19;"R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
20;"J4";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"SW antenna";;;
21;"U3";"KY-040-PORT";1;"KY-040";;;
22;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"200k";;;
23;"A1";"RaspberryPi_Pico_Common_THT-simple";1;"RaspberryPi_Pico - purple";;;
24;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
25;"C10";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"33pF";;;
26;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100k";;;
27;"U1";"SOIC_A10-GS_SIL";1;"SI4732-A10-GS";;;
